NOME_SENADOR,DATA,VOTO
CLEITINHO,14/08/2024,Votou
CLEITINHO,14/08/2024,Votou
CLEITINHO,14/08/2024,Sim
CLEITINHO,14/08/2024,Sim
CLEITINHO,14/08/2024,Sim
CLEITINHO,14/08/2024,Sim
CLEITINHO,14/08/2024,Não
CLEITINHO,14/08/2024,Não
CLEITINHO,04/09/2024,Sim
CLEITINHO,08/10/2024,Votou
CLEITINHO,12/11/2024,Sim
CLEITINHO,12/11/2024,Não
CLEITINHO,18/11/2024,Não
CLEITINHO,18/11/2024,Não
CLEITINHO,18/11/2024,Sim
CLEITINHO,27/11/2024,Sim
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,10/12/2024,Votou
CLEITINHO,12/12/2024,Votou
CLEITINHO,12/12/2024,Votou
CLEITINHO,12/12/2024,Votou
CLEITINHO,12/12/2024,Votou
CLEITINHO,12/12/2024,Votou
CLEITINHO,12/12/2024,Não
CLEITINHO,12/12/2024,Não
CLEITINHO,12/12/2024,Não
CLEITINHO,12/12/2024,Sim
CLEITINHO,12/12/2024,Sim
CLEITINHO,17/12/2024,Sim
CLEITINHO,17/12/2024,Sim
CLEITINHO,17/12/2024,Sim
CLEITINHO,17/12/2024,Sim
CLEITINHO,18/12/2024,Sim
CLEITINHO,18/12/2024,Sim
CLEITINHO,18/12/2024,Sim
CLEITINHO,19/12/2024,Sim
CLEITINHO,19/12/2024,Sim
CLEITINHO,19/12/2024,Sim
CLEITINHO,19/12/2024,Sim
CLEITINHO,19/12/2024,Não
CLEITINHO,19/12/2024,Sim
CLEITINHO,19/12/2024,Não
CLEITINHO,19/12/2024,Não
RODRIGO PACHECO,DATA,RESULTADO
RODRIGO PACHECO,20/02/2024,P-NRV
RODRIGO PACHECO,20/02/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,05/03/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,13/03/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,13/03/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,10/04/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,16/04/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,16/04/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,17/04/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,08/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,08/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,08/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,08/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,15/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,15/05/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,22/05/2024,AP
RODRIGO PACHECO,22/05/2024,AP
RODRIGO PACHECO,22/05/2024,AP
RODRIGO PACHECO,05/06/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/06/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,19/06/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,19/06/2024,Votou
RODRIGO PACHECO,02/07/2024,AP
RODRIGO PACHECO,03/07/2024,AP
RODRIGO PACHECO,03/07/2024,AP
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,10/07/2024,Votou
RODRIGO PACHECO,13/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,Votou
RODRIGO PACHECO,14/08/2024,Votou
RODRIGO PACHECO,14/08/2024,Votou
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,14/08/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,04/09/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,08/10/2024,Votou
RODRIGO PACHECO,12/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,12/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,27/11/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,10/12/2024,Votou
RODRIGO PACHECO,12/12/2024,Votou
RODRIGO PACHECO,12/12/2024,Votou
RODRIGO PACHECO,12/12/2024,Votou
RODRIGO PACHECO,12/12/2024,Votou
RODRIGO PACHECO,12/12/2024,Votou
RODRIGO PACHECO,12/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,12/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,12/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,12/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,12/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,17/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,17/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,17/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,17/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,18/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,Sim
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
RODRIGO PACHECO,19/12/2024,"Presidente(art. 51 RISF)"
